MB,Morbi,Morbi,"960,329","4,871",197
NR,Narmada,Rajpipla,"590,379","2,749",214
NV,Navsari,Navsari,"1,330,711","2,211",602
PM,Panchmahal,Godhra,"2,388,267","5,219",458
PA,Patan,Patan,"1,342,746","5,738",234
PO,Porbandar,Porbandar,"586,062","2,294",255
RA,Rajkot,Rajkot,"3,157,676","11,203",282
SK,Sabarkantha,Himatnagar,"2,427,346","7,390",328
ST,Surat,Surat,"4,996,391","4,327",653
SN,Surendranagar,Surendranagar,"1,755,873","10,489",167
TA,Tapi,Vyara,"806,489","3,435",249
VD,Vadodara,Vadodara,"3,639,775","7,794",467
VL,Valsad,Valsad,"1,703,068","3,034",561
Haryana (HR)[edit],State,,,,
AM,Ambala,Ambala,"1,136,784","1,569",722
BH,Bhiwani,Bhiwani,"1,629,109","5,140",341
Not Yet Assigned,Charkhi Dadri,Charkhi Dadri,Survey Pending,Pending,Pending
FR,Faridabad,Faridabad,"1,798,954",783,"2,298"
FT,Fatehabad,Fatehabad,"941,522","2,538",371
GU,Gurugram,Gurugram,"1,514,085","2,760","1,241"
HI,Hissar,Hissar,"1,742,815","3,788",438
JH,Jhajjar,Jhajjar,"956,907","1,868",522
JI,Jind,Jind,"1,332,042","2,702",493
KT,Kaithal,Kaithal,"1,072,861","2,799",467
KR,Karnal,Karnal,"1,506,323","2,471",598
KU,Kurukshetra,Kurukshetra,"964,231","1,530",630
MA,Mahendragarh,Narnaul,"921,680","1,900",485
MW,Nuh,Nuh,"1,089,406","1,765",729
PW,Palwal,Palwal,"1,040,493","1,367",761
PK,Panchkula,Panchkula,"558,890",816,622
PP,Panipat,Panipat,"1,202,811","1,250",949
RE,Rewari,Rewari,"896,129","1,559",562
RO,Rohtak,Rohtak,"1,058,683","1,668",607
SI,Sirsa,Sirsa,"1,295,114","4,276",303
SNP,Sonipat,Sonipat,"1,480,080","2,260",697
YN,Yamuna Nagar,Yamuna Nagar,"1,214,162","1,756",687
Himachal Pradesh (HP)[edit],State,,,,
BI,Bilaspur,Bilaspur,"382,056","1,167",327
CH,Chamba,Chamba,"518,844","6,528",80
HA,Hamirpur,Hamirpur,"454,293","1,118",406
KA,Kangra,Dharamshala,"1,507,223","5,739",263
KI,Kinnaur,Reckong Peo,"84,298","6,401",13
KU,Kullu,Kullu,"437,474","5,503",79
LS,Lahaul and Spiti,Keylong,"31,528","13,835",2
MA,Mandi,Mandi,"999,518","3,950",253
SH,Shimla,Shimla,"813,384","5,131",159
SI,Sirmaur,Nahan,"530,164","2,825",188
SO,Solan,Solan,"576,670","1,936",298
UNA,Una,Una,"521,057","1,540",328
Jammu and Kashmir (JK)[edit],State,,,,
AN,Anantnag,Anantnag,"1,070,144",2853,375
BPR,Bandipora,Bandipore,"385,099","3,010",128
BR,Baramulla,Baramulla,"1,015,503",3329,305
BD,Badgam,Badgam,"735,753",1406,537
DO,Doda,Doda,"409,576","11,691",79
GB,Ganderbal,Ganderbal,"297,003",258,"1,151"
JA,Jammu,Jammu,"1,526,406","3,097",596
KR,Kargil,Kargil,"143,388","14,036",10
KT,Kathua,Kathua,"615,711","2,651",232
KW,Kishtwar,Kishtwar,"230,696",7737,30
KG,Kulgam,Kulgam,"422,786",457,925
KU,Kupwara,Kupwara,"875,564","2,379",368
LE,Leh,Leh,"147,104","45,110",3
PO,Poonch,Poonch,"476,820","1,674",285
PU,Pulwama,Pulwama,"570,060","1,398",598
RA,Rajouri,Rajouri,"619,266","2,630",235
RB,Ramban,Ramban,"283,313","1,330",213
RS,Reasi,Reasi,"314,714",1710,184
SB,Samba,Samba,"318,611",913,318
SH,Shopian,Shupiyan,"265,960",312,852
SR,Srinagar,Srinagar,"1,269,751","2,228",703
UD,Udhampur,Udhampur,"555,357","4,550",211
Jharkhand (JH)[edit],State,,,,
BO,Bokaro,Bokaro,"2,061,918","2,861",716
CH,Chatra,Chatra,"1,042,304","3,700",275
DE,Deoghar,Deoghar,"1,491,879","2,479",602
DH,Dhanbad,Dhanbad,"2,682,662","2,075","1,284"
DU,Dumka,Dumka,"1,321,096","4,404",300
ES,East Singhbhum,Jamshedpur,"2,291,032","3,533",648
GA,Garhwa,Garhwa,"1,322,387","4,064",327
GI,Giridih,Giridih,"2,445,203","4,887",497
GO,Godda,Godda,"1,311,382","2,110",622
GU,Gumla,Gumla,"1,025,656",5327,193
HA,Hazaribag,Hazaribag,"1,734,005","4,302",403
JA,Jamtara,Jamtara,"790,207","1,802",439
KH,Khunti,Khunti,"530,299","2,467",215
KO,Koderma,Koderma,"717,169","1,312",427
LA,Latehar,Latehar,"725,673","3,630",200
LO,Lohardaga,Lohardaga,"461,738","1,494",310
PK,Pakur,Pakur,"899,200","1,805",498
PL,Palamu,Daltonganj,"1,936,319","5,082",381
RM,Ramgarh,Ramgarh,"949,159","1,212",684
RA,Ranchi,Ranchi,"2,912,022","7,974",557
SA,Sahibganj,Sahebganj,"1,150,038","1,599",719
SK,Seraikela Kharsawan,Seraikela,"1,063,458","2,725",390
SI,Simdega,Simdega,"599,813","3,750",160
WS,West Singhbhum,Chaibasa,"1,501,619","7,186",209
Karnataka (KA)[edit],State,,,,
BK,Bagalkot,Bagalkot,"1,890,826","6,583",288
BL,Ballari,Ballari,"2,532,383","8,439",300
BG,Belagavi,Belagavi,"4,778,439","13,415",356
BR,Bengaluru Rural,Bengaluru,"987,257","2,239",441
BN,Bengaluru Urban,Bengaluru,"9,588,910","2,190","4,378"
BD,Bidar,Bidar,"1,700,018","5,448",312
CJ,Chamarajnagar,Chamarajanagar,"1,020,962","5,102",200
CK,Chikkaballapur,Chikkaballapur,"1,254,377","4,208",298
CK,Chikkamagaluru,Chikmagalur,"1,137,753","7,201",158
CT,Chitradurga,Chitradurga,"1,660,378","8,437",197
DK,Dakshina Kannada,Mangaluru,"2,083,625","4,559",457
DA,Davanagere,Davangere,"1,946,905","5,926",329
DH,Dharwad,Dharwad,"1,846,993","4,265",434
GA,Gadag,Gadag-Betageri,"1,065,235","4,651",229
HS,Hassan,Hassan,"1,776,221","6,814",261
HV,Haveri,Haveri,"1,598,506","4,825",331
GU,Kalaburagi,Kalaburagi,"2,564,892","10,990",233
KD,Kodagu,Madikeri,"554,762","4,102",135
KL,Kolar,Kolar,"1,540,231","4,012",384
KP,Koppal,Koppal,"1,391,292","5,565",250
MA,Mandya,Mandya,"1,808,680","4,961",365
MY,Mysuru,Mysuru,"2,994,744","6,854",437
RA,Raichur,Raichur,"1,924,773","6,839",228
RM,Ramanagara,Ramanagara,"1,082,739","3,573",303
SH,Shivamogga,Shivamogga,"1,755,512","8,495",207
TU,Tumakuru,Tumakuru,"2,681,449","10,598",253
UD,Udupi,Udupi,"1,177,908","3,879",304
UK,Uttara Kannada,Karwar,"1,353,299","10,291",132
BJ,Vijayapura,Vijayapura,"2,175,102","10,517",207
YG,Yadgir,Yadgir,"1,172,985","5,225",224
Kerala (KL)[edit],State,,,,
AL,Alappuzha,Alappuzha,"2,121,943","1,414",Map
ER,Ernakulam,Kakkanad,"3,279,860","2,951",Map
ID,Idukki,Painavu,"1,107,453","4,479",Map
KN,Kannur,Kannur,"2,525,637","2,966",Map
KS,Kasaragod,Kasaragod,"1,302,600","1,992",Map
KL,Kollam,Kollam,"2,629,703","2,498",Map
KT,Kottayam,Kottayam,"1,979,384","2,203",Map
KZ,Kozhikode,Kozhikode,"3,089,543","2,345",Map
MA,Malappuram,Malappuram,"4,110,956","3,550",Map
PL,Palakkad,Palakkad,"2,810,892","4,480",Map
PT,Pathanamthitta,Pathanamthitta,"1,195,537","2,462",Map
TS,Thrissur,Thrissur,"3,110,327","3,032",Map
TV,Thiruvananthapuram,Thiruvananthapuram,"3,307,284","2,192",Map
WA,Wayanad,Kalpetta,"816,558","2,131",Map
Lakshadweep (LD)[edit],State,,,,
LD,Lakshadweep,Kavaratti,"64,429",32,"2,013"
Madhya Pradesh (MP)[edit],State,,,,
AG,Agar Malwa,Agar,Survey Pending,Pending,Pending
AL,Alirajpur,Alirajpur,"728,677","3,182",229
AP,Anuppur,Anuppur,"749,521","3,747",200
AS,Ashok Nagar,Ashok Nagar,"844,979","4,674",181
BL,Balaghat,Balaghat,"1,701,156","9,229",184
BR,Barwani,Barwani,"1,385,659","5,432",256
BE,Betul,Betul,"1,575,247","10,043",157
BD,Bhind,Bhind,"1,703,562","4,459",382
BP,Bhopal,Bhopal,"2,368,145","2,772",854
BU,Burhanpur,Burhanpur,"756,993","3,427",221
CT,Chhatarpur,Chhatarpur,"1,762,857","8,687",203
CN,Chhindwara,Chhindwara,"2,090,306","11,815",177
DM,Damoh,Damoh,"1,263,703","7,306",173
DT,Datia,Datia,"786,375","2,694",292
DE,Dewas,Dewas,"1,563,107","7,020",223
DH,Dhar,Dhar,"2,184,672","8,153",268
DI,Dindori,Dindori,"704,218","7,427",94
GU,Guna,Guna,"1,240,938","6,485",194
GW,Gwalior,Gwalior,"2,030,543","5,465",445
HA,Harda,Harda,"570,302","3,339",171
HO,Hoshangabad,Hoshangabad,"1,240,975","6,698",185
IN,Indore,Indore,"3,272,335","3,898",839
JA,Jabalpur,Jabalpur,"2,460,714","5,210",472
JH,Jhabua,Jhabua,"1,024,091","6,782",285
